Stock,Dataset,MSE,MAE,RMSE,MAPE
AAPL,Dataset-B,79.90381258335083,7.756123324381889,8.938893252710361,
TSLA,Dataset-B,64277.275478618074,213.80096994144,253.52963432036515,
GOOG,Dataset-B,51011.841696733114,180.51997626465214,225.85801224825545,
MSFT,Dataset-B,148.45604009482014,8.94671503463247,12.184253776691461,
AMZN,Dataset-B,31797.58708818879,155.07921259842468,178.31877940415808,
