Stock,MSE,MAE,RMSE,MAPE
AAPL,1254.103641858802,33.65752895630791,35.41332576670542,0.2748466183824267
TSLA,35102.74440772153,165.12858528433412,187.35726409115162,0.3230311247666136
GOOG,65379.95163490787,233.99564241820843,255.69503639082998,0.14070538546748015
MSFT,3083.097494160529,52.52563472311678,55.52564717462129,0.24015830135841615
AMZN,2005919.1164590975,1306.5262010412068,1416.3047399691557,0.4089334463546478
