Stock,Dataset,MSE,MAE,RMSE,MAPE
AAPL,Dataset-A,1572.240286614175,33.37377952755908,39.651485301488705,
TSLA,Dataset-A,108895.53071299211,244.90877952755903,329.99322828353934,
GOOG,Dataset-A,82361.51942565003,221.4093467064275,286.9869673445992,
MSFT,Dataset-A,1749.151357545798,37.10926096062944,41.822856879292665,
AMZN,Dataset-A,1031331.9320937019,913.6466929133865,1015.5451403525606,
